Measurement_Date,Station_Code,SO2,NO2,CO,O3,PM10,PM2.5
2017-01-01 14:00:00,110,,,,,,66.0
2017-01-01 14:00:00,111,0.006,0.0559999999999999,1.0,0.004,78.0,47.0
2017-01-01 14:00:00,112,0.0069999999999999,0.059,0.1,0.006,95.0,81.0
2017-01-01 14:00:00,113,0.0069999999999999,0.059,0.9,0.0069999999999999,106.0,51.0
2017-01-01 14:00:00,114,0.008,0.051,0.8,0.011,86.0,68.0
2017-01-01 14:00:00,115,0.006,0.038,0.8,0.012,88.0,56.0
2017-01-01 14:00:00,116,0.0069999999999999,0.03,0.6,0.026,73.0,45.0
2017-01-01 14:00:00,117,0.009,0.0279999999999999,0.7,0.018,102.0,51.0
2017-01-01 14:00:00,118,0.0069999999999999,0.038,0.7,0.023,70.0,47.0
2017-01-01 14:00:00,119,0.004,0.032,0.9,0.0069999999999999,78.0,73.0
2017-01-01 14:00:00,120,0.006,0.063,0.1,0.005,86.0,71.0
2017-01-01 14:00:00,121,0.008,0.068,1.1,0.005,89.0,63.0
2017-01-01 14:00:00,122,0.006,0.051,1.0,0.006,100.0,56.0
2017-01-01 14:00:00,123,0.005,0.047,0.8,0.004,91.0,84.0
2017-01-01 14:00:00,124,0.006,0.046,0.9,0.0069999999999999,73.0,47.0
2017-01-01 14:00:00,125,0.004,0.035,0.7,0.009,88.0,54.0
2017-01-01 15:00:00,101,0.006,0.0559999999999999,0.8,0.008,87.0,69.0
2017-01-01 15:00:00,102,0.0069999999999999,0.054,0.7,0.009,82.0,62.0
2017-01-01 15:00:00,103,0.0069999999999999,0.046,0.9,0.004,89.0,79.0
2017-01-01 15:00:00,104,0.009,0.043,0.8,0.0069999999999999,97.0,50.0
2017-01-01 15:00:00,105,0.006,0.04,0.7,0.013,102.0,48.0
2017-01-01 15:00:00,106,0.006,0.05,0.9,0.01,79.0,70.0
2017-01-01 15:00:00,107,0.005,0.054,0.7,0.004,114.0,61.0
2017-01-01 15:00:00,108,0.005,0.05,0.8,0.009,90.0,81.0
2017-01-01 15:00:00,109,0.0069999999999999,0.052,0.9,0.005,106.0,64.0
2017-01-01 15:00:00,110,0.006,0.0409999999999999,0.6,0.009,85.0,64.0
2017-01-01 15:00:00,111,0.006,0.06,1.1,0.003,80.0,55.0
2017-01-01 15:00:00,112,0.0069999999999999,0.063,0.1,0.005,95.0,79.0
2017-01-01 15:00:00,113,0.0069999999999999,0.062,0.9,0.004,100.0,51.0
2017-01-01 15:00:00,114,0.008,0.057,0.9,0.008,89.0,70.0
2017-01-01 15:00:00,115,0.006,0.036,0.7,0.012,73.0,43.0
2017-01-01 15:00:00,116,0.006,0.031,0.5,0.025,62.0,34.0
2017-01-01 15:00:00,117,0.009,0.025,0.6,0.022,78.0,34.0
2017-01-01 15:00:00,118,0.0069999999999999,0.0409999999999999,0.7,0.019,71.0,46.0
2017-01-01 15:00:00,119,0.005,0.022,0.7,0.019,62.0,52.0
2017-01-01 15:00:00,120,0.0069999999999999,0.064,0.9,0.006,81.0,67.0
2017-01-01 15:00:00,121,0.009,0.048,0.8,0.0139999999999999,75.0,55.0
2017-01-01 15:00:00,122,0.0069999999999999,0.053,1.1,0.009,95.0,50.0
2017-01-01 15:00:00,123,0.005,0.046,0.7,0.003,98.0,66.0
2017-01-01 15:00:00,124,0.006,0.048,0.9,0.0069999999999999,70.0,56.0
2017-01-01 15:00:00,125,0.005,0.039,0.7,0.01,81.0,46.0
2017-01-01 16:00:00,101,0.006,0.063,0.9,0.004,87.0,69.0
2017-01-01 16:00:00,102,0.0069999999999999,0.0579999999999999,0.7,0.006,82.0,61.0
2017-01-01 16:00:00,103,0.006,0.047,0.9,0.004,85.0,75.0
2017-01-01 16:00:00,104,0.008,0.044,0.7,0.0069999999999999,97.0,44.0
2017-01-01 16:00:00,105,0.006,0.039,0.7,0.0139999999999999,91.0,59.0
2017-01-01 16:00:00,106,0.006,0.055,0.9,0.006,77.0,66.0
2017-01-01 16:00:00,107,0.005,0.053,0.8,0.004,96.0,58.0
2017-01-01 16:00:00,108,0.005,0.051,0.8,0.009,87.0,78.0
2017-01-01 16:00:00,109,0.006,0.054,1.0,0.003,91.0,61.0
2017-01-01 16:00:00,110,0.005,0.04,0.6,0.009,81.0,60.0
2017-01-01 16:00:00,111,0.006,0.0579999999999999,1.1,0.003,79.0,61.0
2017-01-01 16:00:00,112,0.006,0.061,0.1,0.003,93.0,80.0
2017-01-01 16:00:00,113,0.006,0.06,0.9,0.004,91.0,63.0
